artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre,tsne_x,tsne_y,cluster_label
Selena Gomez,Lose You To Love Me,True,https://www.whosampled.com/Selena-Gomez/Lose-You-To-Love-Me/,2019,1,0,23,0,0,0,5uBYhOCQC4NpqmnCgfzFw4,1,206458,51.6,34.2,4.25,55.00000000000001,0.0,63.587235033775926,21.0,9.93,dance,35.489155,-14.782149,2
Lizzo,Good as Hell,True,https://www.whosampled.com/Lizzo/Good-as-Hell/,2016,4,0,7,0,5,0,6TxaIPtuGZoVnHhCxKX1ij,0,159735,68.2,91.9,8.74,25.6,0.0,90.63126019100862,44.3,53.5,hip-hop,-38.625347,0.24455817,3
Bad Bunny;Daddy Yankee,La Santa,True,https://www.whosampled.com/Bad-Bunny/La-Santa/,2020,0,0,2,0,0,0,69vlMrzHwATKzupwNcUPyK,84,206420,74.4,86.8,4.7,3.26,0.0,84.36990449569066,8.219999999999999,58.6,latino,-15.840023,1.5798023,0
Billie Eilish,bad guy,True,https://www.whosampled.com/Billie-Eilish/bad-guy/,2019,26,0,54,0,1,0,2Fxmhks0bxGSBdJ92vM42m,84,194087,70.1,42.5,37.5,32.800000000000004,13.0,54.362916375495,10.0,56.2,electro,15.996164,8.307383,6
BTS,ON,True,https://www.whosampled.com/BTS/ON/,2020,0,0,1,0,0,0,0fZRNhPJ4AGmwY7rkpdbqK,74,246380,58.3,81.69999999999999,9.9,11.8,0.0,81.47216398788726,33.800000000000004,43.7,k-pop,-38.496887,-9.190576,3
SHAED;ZAYN,Trampoline (with ZAYN),True,https://www.whosampled.com/SHAED/Trampoline/,2018,0,0,7,0,2,0,1iQDltZqI7BXnHrFy4Qo1k,69,184280,61.9,45.9,3.34,56.00000000000001,0.0,78.50920102492431,13.7,49.8,electro,35.166096,-0.25923082,2
Jonas Brothers,Sucker,True,https://www.whosampled.com/Jonas-Brothers/Sucker/,2019,5,0,26,0,0,0,22vgEDb5hykfaTwLuskFGD,81,181026,84.2,73.4,5.88,4.2700000000000005,0.0,81.8495224784533,10.6,95.2,dance,-19.168213,36.02338,4
BTS,My Time,True,https://www.whosampled.com/BTS/My-Time/,2020,0,0,1,0,0,0,0YJFlxeHMUr9MxSDQVuQJA,72,234457,67.4,64.1,3.39,14.9,0.0,81.50477521546703,9.25,66.4,k-pop,-0.023707788,8.283009,0
BTS,Filter,True,https://www.whosampled.com/BTS/Filter/,2017,2,0,3,0,1,0,4bZZVcgWWMWPBwzTTp642w,76,180220,77.9,76.2,6.3100000000000005,2.24,0.0,81.27649662240857,12.1,85.9,k-pop,-19.075787,33.7332,4
Lizzo,Truth Hurts,True,https://www.whosampled.com/Lizzo/Truth-Hurts/,2017,5,0,7,0,3,0,5djmFvrnR30Tj9Yyj8tOQQ,1,173325,71.5,62.2,11.1,11.0,0.0,91.25553226182156,12.3,40.7,hip-hop,7.0737696,-8.508753,5
Justin Bieber,Come Around Me,True,https://www.whosampled.com/Justin-Bieber/Come-Around-Me/,2020,0,0,0,0,0,0,0Jj3HijYvpp6UBVJeQPNQh,0,200773,64.8,68.10000000000001,3.790000000000001,26.3,0.761,66.36384812485441,9.71,76.6,pop,13.914834,26.697605,1
Justin Bieber,All Around Me,True,https://www.whosampled.com/Justin-Bieber/All-Around-Me/,2020,0,0,1,0,0,0,1JyC0QIAcBdBZPtrv1glty,0,136906,53.0,43.8,3.72,81.10000000000001,0.0,70.20731423247146,21.2,69.39999999999999,pop,38.51311,6.7459793,2
DaniLeigh;Chris Brown,Easy,True,https://www.whosampled.com/DaniLeigh/Easy/,2019,0,0,3,0,0,0,4CMrdHWqic0usIZfTrKoI3,73,186586,79.9,30.1,18.5,19.5,0.0,52.51805264383881,8.16,51.1,latin,12.979289,8.007684,6
Halsey,Graveyard,True,https://www.whosampled.com/Halsey/Graveyard/,2019,1,0,7,0,1,0,2ufmtcIFdFpuUYBPXK5f67,69,181805,66.7,58.3,7.470000000000001,23.1,0.00448,81.56068017703238,18.1,18.7,electro,9.307969,-18.97801,5
BTS,Black Swan,True,https://www.whosampled.com/BTS/Black-Swan/,2020,0,0,2,0,0,0,2EmcTFQ1rM11wp2ztsXTHa,74,198260,71.89999999999999,75.7,8.49,13.7,0.0,81.37433030514791,12.9,48.9,k-pop,-11.389146,-1.3546032,0
Lady A,What If I Never Get Over You,True,https://www.whosampled.com/Lady-A/What-If-I-Never-Get-Over-You/,2019,0,0,9,0,1,0,0qkdE1C0ufnUISKwhg8Wh6,64,206597,57.6,72.39999999999999,2.74,1.6,0.0,81.46750524109015,10.7,34.0,country,-5.8660693,-28.204784,7
Taylor Swift,Lover,True,https://www.whosampled.com/Taylor-Swift/Lover/,2019,1,0,18,0,2,0,6X7pjnNm5dHSUot6hp3KFU,0,221306,35.9,54.3,9.15,49.2,0.0015699999999999,70.12345679012346,11.8,45.3,pop,29.294397,-0.13042128,2
John Legend,Conversations in the Dark,True,https://www.whosampled.com/John-Legend/Conversations-in-the-Dark/,2020,0,0,2,0,0,0,0QjQC8sGqxUkaJFBsJjtGm,60,235653,36.1,35.7,3.12,70.39999999999999,0.0,66.20545073375263,21.9,15.3,soul,41.447025,-16.21631,2
Lil Tjay,20/20,True,https://www.whosampled.com/Lil-Tjay/2020/,2019,0,0,1,0,0,0,4Hqh0dS4x07zuRw6eBTO7p,64,230448,88.6,33.6,23.9,55.7,0.0,45.911949685534594,9.33,53.6,r-n-b,41.61293,-1.8204474,2
Ant Saunders,Yellow Hearts,True,https://www.whosampled.com/Ant-Saunders/Yellow-Hearts/,2019,1,0,3,0,1,0,2W4yABdLc4Jnds67Poi5Nl,68,223257,86.6,43.8,7.19,17.7,0.0,63.7829023992546,7.430000000000001,69.5,chill,13.919127,14.880279,6
DJ Snake;J Balvin;Tyga,Loco Contigo,True,https://www.whosampled.com/DJ-Snake/Loco-Contigo/,2019,7,0,2,0,2,0,5y0nMZC5kF6uLYaLc97mSo,0,185194,82.69999999999999,75.7,5.64,28.3,0.000156,91.53971581644538,10.2,37.4,dance,10.033409,-10.055189,5
Anuel AA;Daddy Yankee;KAROL G;Ozuna;J Balvin,China,True,https://www.whosampled.com/Anuel-AA/China/,2019,0,0,4,0,0,0,0KkIkfsLEJbrcIhYsCL7L5,70,301714,78.60000000000001,80.80000000000001,8.81,8.459999999999999,0.0289,88.19939436291638,8.219999999999999,60.8,latino,-14.574657,2.7795417,0
Ellie Goulding;Juice WRLD,Hate Me (with Juice WRLD),True,https://www.whosampled.com/Ellie-Goulding/Hate-Me/,2019,1,0,4,0,2,0,6kls8cSlUyHW2BUOkDJIZE,74,186223,65.7,76.8,5.07,10.8,0.0,83.88539482879106,14.4,75.9,dance,-24.225962,17.702074,4
XXXTENTACION;PnB Rock;Trippie Redd,bad vibes forever,True,https://www.whosampled.com/XXXTENTACION/bad-vibes-forever/,2019,0,0,2,0,0,0,03eJ2DclFWXYU8GWgANdmZ,75,150475,80.0,52.6,7.16,33.4,0.174,81.43955276030749,5.71,74.6,emo,16.413626,17.63889,6
Idina Menzel;Evan Rachel Wood,Show Yourself,True,https://www.whosampled.com/Idina-Menzel/Show-Yourself/,2019,0,0,5,0,0,0,50WeOnXhM1H7AZEeIDoWfZ,70,260906,32.1,42.9,3.02,72.39999999999999,0.0091,72.49475890985325,6.0600000000000005,17.4,show-tunes,41.567604,-15.458328,2
Billie Eilish,all the good girls go to hell,True,https://www.whosampled.com/Billie-Eilish/all-the-good-girls-go-to-hell/,2019,3,0,10,0,0,0,5olaF84x7e8jKLmLsm4aA4,0,168839,85.39999999999999,44.6,19.8,31.3,21.5,63.71767994409504,15.6,56.99999999999999,electro,15.373491,9.812324,6
Lil Tjay,F.N,True,https://www.whosampled.com/Lil-Tjay/FN/,2019,0,0,2,0,0,0,0RLLvYBopDwooCyvnTwgYu,78,224000,56.7,51.5,24.7,35.4,0.0,57.62403913347309,7.8,32.1,r-n-b,26.236252,-8.5526905,5
J Balvin;Bad Bunny,LA CANCIÓN,True,https://www.whosampled.com/J-Balvin/LA-CANCIÓN/,2019,0,0,5,0,0,0,29bZ3bs505KcwIVqWFOPBS,0,242573,75.6,64.60000000000001,31.9,15.2,0.00181,78.44863731656184,10.8,42.9,latin,-1.8734126,-1.2367692,0
Marshmello;Kane Brown,One Thing Right,True,https://www.whosampled.com/Marshmello/One-Thing-Right/,2019,0,0,5,0,8,0,4hPpVbbakQNv8YTHYaOJP4,74,181823,65.9,62.5,4.5,6.44,0.0,94.94991847193106,58.2,44.2,edm,-46.456356,-6.8359947,3
Kygo;Whitney Houston,Higher Love,True,https://www.whosampled.com/Kygo/Higher-Love/,2019,4,0,11,0,0,1,6oJ6le65B3SEqPwMRNXWjY,76,228267,69.3,67.80000000000001,3.24,1.51,0.000571,72.09410668530167,10.1,40.400000000000006,edm,-6.6508193,-13.403666,0
BTS;Lauv,Make It Right (feat. Lauv),True,https://www.whosampled.com/BTS/Make-It-Right/,2019,0,0,3,0,2,0,2WH4oy1SYppZrcdgKwSA0j,69,226321,58.3,68.0,42.2,3.04,0.0,69.06592126717914,18.9,34.300000000000004,k-pop,-1.6679142,-6.010356,0
Bad Bunny;Tainy,Callaita,True,https://www.whosampled.com/Bad-Bunny/Callaita/,2019,0,0,1,0,0,0,2TH65lNHgvLxCKXM3apjxI,80,250533,61.0,62.4,30.9,60.0,0.000212,83.20987654320989,24.3,24.4,latino,27.781027,-4.776087,2
Ariana Grande;Social House,boyfriend (with Social House),True,https://www.whosampled.com/Ariana-Grande/boyfriend/,2019,0,0,7,0,0,0,0Ryd8975WihbObpp5cPW1t,80,186106,40.0,79.5,46.1,11.9,0.0,88.06429070580013,15.9,70.19999999999999,dance,-24.03146,10.770865,4
Shawn Mendes,If I Can't Have You,True,https://www.whosampled.com/Shawn-Mendes/If-I-Can%27t-Have-You/,2019,2,0,12,0,1,0,66jmLylzWJ684t7cOGcmdk,0,190800,69.0,80.9,6.03,52.400000000000006,0.0,85.88865595154903,14.7,86.4,dance,24.36177,27.139505,6
Carrie Underwood,Southbound,True,https://www.whosampled.com/Carrie-Underwood/Southbound/,2018,3,0,8,0,1,0,3wYce5GyRKkhKfUlUE5RID,0,202853,61.4,88.4,4.02,0.122,0.0,86.72257162823202,7.7,72.1,country,-27.618557,22.113651,4
Halsey,Without Me,True,https://www.whosampled.com/Halsey/Without-Me/,2018,6,0,16,0,2,0,5p7ujcrUXASCNwRaWNHR1C,78,201660,75.2,48.8,7.049999999999999,29.7,0.0009109999999999,72.60191008618682,9.36,53.3,dance,15.415371,-5.103084,5
j-hope;Becky G,Chicken Noodle Soup (feat. Becky G),True,https://www.whosampled.com/j-hope/Chicken-Noodle-Soup/,2019,0,0,3,1,0,0,2y6Ty2NPAsP84XJAtzLxuk,70,235497,82.69999999999999,81.69999999999999,9.53,0.496,0.0011899999999999,86.43372932681109,29.4,16.7,k-pop,-11.634244,-21.524317,7
Tainy;Anuel AA;Ozuna,Adicto,True,https://www.whosampled.com/Tainy/Adicto/,2019,0,0,2,0,0,0,3uHxCgxHJIAGY52Oz39xqC,0,270740,73.4,83.6,7.359999999999999,1.71,0.00171,83.07011413929652,17.9,62.2,latin,-17.935125,2.9097373,0
Dan + Shay,Speechless,False,,2019,0,0,0,0,0,0,7LgyKYscgD7wkzsLRRTTpd,0,213386,61.6,43.7,2.98,35.099999999999994,0.0,77.64267412066155,24.0,38.6,country,23.85852,-12.85849,5
Ali Gatie,It's You,True,https://www.whosampled.com/Ali-Gatie/It%27s-You/,2019,1,0,1,0,0,0,5DqdesEfbRyOlSS3Tf6c29,80,212606,73.2,46.3,2.87,37.4,0.0,72.96529233636151,19.4,39.7,hip-hop,23.30169,-13.4672575,5
Cardi B,Press,True,https://www.whosampled.com/Cardi-B/Press/,2019,1,0,2,0,0,0,15VZk4nrY1ZKdTouZoaxub,0,143791,90.6,52.5,29.1,2.9000000000000004,0.000576,79.05427440018636,13.7,24.0,dance,-0.030617822,-3.7164567,0
Panic! At The Disco,"Hey Look Ma, I Made It",False,,2019,0,0,1,0,0,0,0FtatFiR93fHKIdLxmv8ar,2,169666,57.7,83.39999999999999,6.890000000000001,1.34,0.0,89.8998369438621,12.1,57.49999999999999,rock,-24.632612,-6.5881767,3
Lana Del Rey,Doin' Time,True,https://www.whosampled.com/Lana-Del-Rey/Doin%27-Time/,2019,0,0,2,1,0,0,3TmDnZuy3pHQbFJG5fRu2a,0,202192,64.1,55.900000000000006,3.55,40.400000000000006,0.402,53.58490566037736,9.37,52.3,pop,33.67414,8.939488,6
Ariana Grande,7 rings,True,https://www.whosampled.com/Ariana-Grande/7-rings/,2019,12,0,16,0,1,0,6ocbgoVGwYJhOv1GgI9NsF,84,178626,77.8,31.7,33.4,59.2,0.0,55.44840437922199,8.81,32.7,dance,42.984364,-2.8090107,2
Morgan Wallen,Whiskey Glasses,True,https://www.whosampled.com/Morgan-Wallen/Whiskey-Glasses/,2018,0,0,1,0,0,0,6foY66mWZN0pSRjZ408c00,81,234346,61.4,68.0,2.89,36.9,0.000184,84.10901467505242,11.5,70.7,country,15.615073,23.906548,6
Blake Shelton,God's Country,True,https://www.whosampled.com/Blake-Shelton/God%27s-Country/,2019,0,0,4,0,0,0,6hES6A4ZOL8MzYpULEfsoZ,0,204800,53.7,75.4,3.99,5.86,0.0004799999999999,81.67714884696016,11.8,21.2,country,-5.946575,-32.409325,7
The Chainsmokers;Bebe Rexha,Call You Mine,True,https://www.whosampled.com/The-Chainsmokers/Call-You-Mine/,2019,1,0,3,0,6,0,2oejEp50ZzPuQTQ6v54Evp,75,217640,58.5,69.6,3.0700000000000003,20.4,0.0,79.3570929419986,34.4,52.2,dance,-20.510849,-20.624458,7
for KING & COUNTRY,God Only Knows,False,,2019,2,0,1,0,0,0,4ElNxglBjcrASiGn58t9Jm,65,229760,59.7,41.7,5.0200000000000005,39.5,0.000835,68.39972047519217,12.8,26.3,alt-rock,26.74985,-13.993614,5
Offset;Cardi B,Clout,True,https://www.whosampled.com/Offset/Clout/,2019,4,0,2,0,0,0,5HIMWb1gP286Vjpe3MrvhC,3,205803,91.9,62.2,9.97,23.0,0.000424,71.04588865595154,12.2,42.3,hip-hop,8.409752,-6.089032,5
The Chainsmokers;ILLENIUM;Lennon Stella,Takeaway,True,https://www.whosampled.com/The-Chainsmokers/Takeaway/,2019,1,0,2,0,6,0,3g0mEQx3NTanacLseoP0Gw,75,209880,52.8,51.1,3.24,12.6,0.0,67.50524109014675,10.1,35.099999999999994,dance,14.103183,-24.68456,5
Marshmello;Bastille,Happier,True,https://www.whosampled.com/Marshmello/Happier/,2018,6,0,21,0,12,0,2dpaYNEQHiRxtZbfNsse99,83,214289,68.7,79.2,4.52,19.1,0.0,92.63918006056372,16.7,67.10000000000001,dance,-18.59923,11.345378,4
Ava Max,Sweet but Psycho,True,https://www.whosampled.com/Ava-Max/Sweet-but-Psycho/,2018,11,0,18,0,7,0,7DnAm9FOTWE3cUvso43HhI,81,187436,72.0,70.6,4.73,6.84,0.0,83.46144887025389,16.6,62.0,dance,-11.64069,5.718115,0
J Balvin;Bad Bunny,QUE PRETENDES,True,https://www.whosampled.com/J-Balvin/QUE-PRETENDES/,2019,0,0,1,0,0,0,3g3GUoGsjciY5ZuV2j73qm,0,222346,63.9,79.10000000000001,25.4,2.75,0.0,84.74726298625671,36.2,93.3,latin,-34.678074,17.966606,4
Lady Gaga;Bradley Cooper,Shallow,True,https://www.whosampled.com/Lady-Gaga/Shallow/,2018,3,0,59,0,0,0,2VxeLyX666F8uXCJ0dZF8B,84,215733,57.2,38.5,3.08,37.1,0.0,75.80712788259957,23.1,32.300000000000004,dance,24.550898,-12.987418,5
Panic! At The Disco,High Hopes,False,,2018,22,0,5,0,0,0,1rqqCSm0Qe4I9rUvWncaom,81,190946,57.9,90.4,6.18,19.3,0.0,92.73235499650596,6.4,68.10000000000001,rock,-23.854013,4.063062,3
Travis Scott,SICKO MODE,True,https://www.whosampled.com/Travis-Scott/SICKO-MODE/,2018,44,0,10,0,1,0,2xLMifQCjDGFmkHkpNLD9h,83,312820,83.39999999999999,73.0,22.2,0.513,0.0,88.14348940135105,12.4,44.6,hip-hop,-5.7204423,-1.463191,0
NF,The Search,True,https://www.whosampled.com/NF/The-Search/,2019,1,0,2,0,0,0,2OKo7g3KfmCt3kyLvUAL0g,74,248040,78.9,78.60000000000001,29.7,59.6,0.0,83.1399953412532,9.97,39.0,hip-hop,25.967981,-3.5773954,2
Halsey,Nightmare,True,https://www.whosampled.com/Halsey/Nightmare/,2019,1,0,7,0,0,0,340UVheS8z3ncW9TTUhAbc,68,231998,61.1,62.2,7.340000000000001,1.88,0.0,81.80293501048219,35.9,53.8,electro,-40.6367,-6.470686,3
Travis Scott,WAKE UP,True,https://www.whosampled.com/Travis-Scott/WAKE-UP/,2018,3,0,1,0,0,0,20MuVazoNMv6xjKPnRFOxG,70,231963,74.1,64.5,9.63,19.2,0.0,81.61192639180061,16.3,48.8,house,9.931323,-6.1052537,5
benny blanco;Halsey;Khalid,Eastside (with Halsey & Khalid),True,https://www.whosampled.com/benny-blanco/Eastside/,2018,1,0,12,0,0,0,7FGq80cy8juXBCD2nrqdWU,78,170769,63.2,68.60000000000001,24.3,54.900000000000006,0.0,69.7367808059632,20.0,32.9,dance,27.9167,-4.9025197,2
Billie Eilish,ocean eyes,True,https://www.whosampled.com/Billie-Eilish/ocean-eyes/,2015,9,0,18,0,4,0,7hDVYcQq6MxkdJGweuCtl9,80,200379,51.1,36.3,4.1000000000000005,81.6,3.17,69.80666200791987,8.4,16.900000000000002,electro,40.468674,-13.144778,2
Cardi B;Bruno Mars,Please Me,True,https://www.whosampled.com/Cardi-B/Please-Me/,2019,0,0,3,0,0,0,7nJ0Nz5gsmICYvbcKsT999,0,200889,75.0,57.2,6.52,5.56,0.0,74.28371767994409,9.31,66.3,dance,-6.729924,6.155365,0
Ariana Grande,"break up with your girlfriend, i'm bored",True,https://www.whosampled.com/Ariana-Grande/break-up/,2019,0,0,0,0,0,0,4kV4N9D1iKVxx1KLvtTpjS,78,190440,72.6,55.400000000000006,9.17,4.21,0.0,80.8013044491032,10.6,33.5,dance,2.280257,-15.326124,5
Marshmello;CHVRCHES,Here With Me,True,https://www.whosampled.com/Marshmello/Here/,2019,0,0,1,0,0,0,5icOoE6VgqFKohjWWNp0Ac,75,156346,79.10000000000001,56.49999999999999,4.390000000000001,6.23,0.0,87.12322385278361,15.6,18.1,dance,5.7767477,-19.80046,5
Ozuna,Baila Baila Baila,True,https://www.whosampled.com/Ozuna/Baila-Baila-Baila/,2019,0,0,2,0,1,0,5PXsZaT8cOxb4mXrA20PMQ,70,158760,83.7,62.6,15.2,5.88,0.0,79.01234567901236,25.2,59.2,latino,-6.39378,8.77188,0
Marshmello;A Day To Remember,Rescue Me,True,https://www.whosampled.com/Marshmello/Rescue-Me/,2018,0,0,1,0,0,0,35rozLoS6QLE8HX8qswM3k,61,237203,43.3,90.5,10.1,0.803,0.0,95.3319357092942,33.7,37.5,progressive-house,-21.590065,-36.65306,7
Luke Combs,Beautiful Crazy,True,https://www.whosampled.com/Luke-Combs/Beautiful-Crazy/,2018,0,0,3,0,0,0,2rxQMGVafnNaRaXlRMWPde,80,193200,55.1,40.2,2.62,67.60000000000001,0.0,70.8269275564873,9.28,38.2,country,38.38154,-7.835856,2
Billie Eilish,bury a friend,True,https://www.whosampled.com/Billie-Eilish/bury-a-friend/,2019,4,0,18,0,0,0,6ZRF2oj59pKnVYjHcvN2Pa,5,193143,88.7,38.8,34.9,73.9,14.3,37.87095271372001,10.6,20.5,electro,44.683205,-4.798929,2
Avicii,Heaven,True,https://www.whosampled.com/Avicii/Heaven/,2019,0,0,3,0,1,0,10P1Cy36hugYDFTZPCE9Bk,0,277261,59.2,87.3,2.75,7.23,0.986,79.12415560214303,14.2,51.5,dance,-20.00818,-6.508072,0
Cody Johnson,On My Way to You,True,https://www.whosampled.com/Cody-Johnson/On-My-Way-to-You/,2019,0,0,1,0,0,0,0EnvJBejWaMxn3qAvWV4B9,0,213306,44.5,53.7,3.11,33.1,0.005,79.93011879804332,8.66,24.6,country,21.186716,-21.669432,5
BTS;Halsey,Boy With Luv (feat. Halsey),True,https://www.whosampled.com/BTS/Boy/,2019,0,0,3,0,0,0,4a9tbd947vo9K8Vti9JwcI,80,229773,64.5,86.2,8.450000000000001,9.33,0.0,83.26578150477522,19.3,80.30000000000001,k-pop,-27.736128,18.170181,4
The Chainsmokers;5 Seconds of Summer,Who Do You Love,True,https://www.whosampled.com/The-Chainsmokers/Who-Do-You-Love/,2019,0,0,6,0,1,0,2fVHrSxsQbJUuj9MW9zG1e,72,226733,51.0,84.6,4.61,1.01,0.0,84.03913347309575,20.8,47.5,dance,-26.510546,-15.634874,3
Mabel,Don't Call Me Up,True,https://www.whosampled.com/Mabel/Don%27t-Call-Me-Up/,2019,1,0,7,0,5,0,5WHTFyqSii0lmT9R21abT8,77,178480,67.4,88.1,14.7,29.6,0.000301,92.15467039366408,7.93,23.4,edm,-0.5717953,-24.53983,7
Lil Dicky,Earth,True,https://www.whosampled.com/Lil-Dicky/Earth/,2019,2,0,1,0,0,0,7lakl3bPRdQqUGX9m755jX,40,281500,69.39999999999999,66.4,5.0,63.9,0.0,83.78756114605171,9.29,67.60000000000001,comedy,26.009794,19.75592,6
Maluma,HP,True,https://www.whosampled.com/Maluma/HP/,2019,0,0,3,0,0,0,1LIqNVhaIgxXUt2eVoIQJ3,72,184435,83.7,79.10000000000001,7.729999999999999,25.2,0.000114,90.73841136734218,18.8,61.8,latino,1.3395478,12.797434,0
Bazzi,Paradise,True,https://www.whosampled.com/Bazzi/Paradise/,2019,0,0,0,0,6,0,0Rx0DJI556Ix5gBny6EWmn,75,169038,84.39999999999999,64.4,4.79,8.28,0.0,76.22175634754251,11.3,59.1,electro,-8.166192,4.2693267,0
Lil Baby;Gunna,Drip Too Hard,True,https://www.whosampled.com/Lil-Baby/Drip-Too-Hard/,2018,6,0,4,0,0,0,3FQwvjvKnE3O4YKawVUNpA,0,145542,89.7,66.2,29.2,8.52,0.0,73.28674586536222,53.400000000000006,39.0,hip-hop,-41.665154,0.23955122,3
Ariana Grande,"thank u, next",True,https://www.whosampled.com/Ariana-Grande/thank-u-next/,2016,4,0,7,0,2,0,3e9HZxeyfWwjeyPAMmWSSQ,82,207320,71.7,65.3,6.58,22.9,0.0,79.19869555089682,10.1,41.2,dance,10.945727,-7.485146,5
Pinkfong,Baby Shark,True,https://www.whosampled.com/Pinkfong/Baby-Shark/,2016,9,0,15,0,4,0,5ygDXis42ncn6kYG14lEVG,77,80927,82.89999999999999,88.6,11.2,25.9,0.0,97.31190309806664,5.59,77.7,children,-26.166866,37.52592,4
Lauv;Troye Sivan,i'm so tired...,True,https://www.whosampled.com/Lauv/i%27m-so-tired/,2018,1,0,2,0,0,0,4vjpLMyL3ZO6aphdYr8XYw,76,162586,57.6,73.6,22.4,17.8,0.0,70.17004425809458,23.8,48.4,dance,1.0082943,1.7759521,0
Billie Eilish,you should see me in a crown,True,https://www.whosampled.com/Billie-Eilish/you-should-see-me-in-a-crown/,2018,2,0,5,0,0,0,5mvAPEp2FA2myWJAE1FYt3,0,180566,68.30000000000001,53.400000000000006,18.9,51.9,24.7,57.237363149312834,14.8,28.4,electro,30.67738,-11.7171545,2
Avicii;Aloe Blacc,SOS,True,https://www.whosampled.com/Avicii/SOS/,2019,7,0,7,0,1,0,5tkZJZiaeQExZNjCli2CD0,0,157202,80.2,64.5,7.140000000000001,27.200000000000003,0.0,76.65036105287678,11.9,37.6,dance,10.130108,-7.494726,5
Billie Eilish,wish you were gay,True,https://www.whosampled.com/Billie-Eilish/wish-you-were-gay/,2019,2,0,10,0,0,0,3Fj47GNK2kUF0uaEDgXLaD,77,221543,85.3,35.099999999999994,24.1,39.0,0.000938,57.936175168879565,75.2,28.2,electro,32.388454,-6.1045103,2
Ellie Goulding;Diplo;Swae Lee,Close To Me,True,https://www.whosampled.com/Ellie-Goulding/Close-To-Me/,2018,2,0,4,0,5,0,3bCp61o3h46Yvr0vgMJlaL,0,182626,57.2,75.0,6.04,9.46,0.0,81.95667365478685,37.8,47.5,dance,-39.543888,-8.589714,3
Lauren Daigle,You Say,True,https://www.whosampled.com/Lauren-Daigle/You-Say/,2018,3,0,16,0,0,0,6Up545NUflOiXo8cEraH49,75,274693,49.4,63.2,3.42,68.2,0.0,73.34730957372467,8.690000000000001,7.969999999999999,alt-rock,33.93331,-11.303985,2
Anuel AA;KAROL G,Secreto,True,https://www.whosampled.com/Anuel-AA/Secreto/,2019,0,0,1,0,0,0,583f0IBk80MRgaTAOZyGDw,1,258799,80.7,80.30000000000001,12.6,60.0,0.8500000000000001,86.08432331702772,13.6,70.6,latin,22.356188,21.533468,6
5 Seconds of Summer,Youngblood,True,https://www.whosampled.com/5-Seconds-of-Summer/Youngblood/,2018,1,0,13,0,1,0,2iUXsYOEPhVqEBwsqP70rE,81,203417,59.6,85.39999999999999,46.3,1.69,0.0,81.62124388539482,12.4,15.2,dance,-2.637076,-7.1459455,0
Marshmello;Tyga;Chris Brown,Light It Up (with Tyga & Chris Brown),True,https://www.whosampled.com/Marshmello/Light-It-Up/,2019,0,0,2,0,0,0,4Q8aDd3H6LF8t4eY7So9O8,59,137448,81.0,62.5,7.1,4.07,0.000153,88.70719776380153,11.8,59.8,progressive-house,-9.345724,3.826494,0
BLACKPINK,Kill This Love,True,https://www.whosampled.com/BLACKPINK/Kill-This-Love/,2019,4,0,4,0,0,0,5GK7eDDTVz7CTge1wJrDQW,71,189052,73.8,86.1,23.7,31.8,0.182,86.1542045189844,32.5,57.99999999999999,k-pop,-38.355,0.9511158,3
Imagine Dragons,Bad Liar,True,https://www.whosampled.com/Imagine-Dragons/Bad-Liar/,2018,1,0,5,0,0,0,2RSHsoi04658QL5xgQVov3,81,260773,38.3,63.7,7.03,7.22,0.0,72.86745865362218,36.8,8.27,rock,-3.7840323,-38.81789,7
Alec Benjamin,Let Me Down Slowly,True,https://www.whosampled.com/Alec-Benjamin/Let-Me-Down-Slowly/,2019,1,0,7,0,0,0,2qxmye6gAegTMjLKEBoR3d,85,169353,65.2,55.7,3.18,74.0,0.0,78.8259958071279,12.4,48.3,electro,35.645542,-1.3566232,2
Michael Ray,One That Got Away,True,https://www.whosampled.com/Michael-Ray/One-That-Got-Away/,2018,1,0,3,0,0,0,0SJiu39u0VPgtUEfNWtuW1,0,218733,56.6,82.5,4.16,0.308,0.0,85.66969485208479,7.79,60.9,country,-23.848167,-6.396078,3
Bad Bunny;Drake,MIA,True,https://www.whosampled.com/Bad-Bunny/MIA/,2018,3,0,6,0,0,0,5hnGly9RuGiixupoVrLTNI,0,210367,81.69999999999999,53.900000000000006,6.21,1.41,0.0496,75.86769159096202,9.9,15.8,latin,5.752612,-20.156042,5
Dan + Shay,Tequila,False,,2018,0,0,1,0,0,0,42fw0rxRO2xbesF6mJfd4Y,72,196746,48.9,58.1,2.81,3.12,0.0,78.74679711157698,13.2,49.4,country,-12.834827,-14.2451315,0
Five Finger Death Punch;Kenny Wayne Shepherd;Brantley Gilbert;Brian May,"Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert & Brian May)",True,https://www.whosampled.com/Five-Finger-Death-Punch/Blue-On-Black/,2018,0,0,2,1,0,0,3lwpE0SEaQV5DWNjqMtYEk,56,274615,45.0,87.2,3.53,0.18,0.0016099999999999,82.5716282320056,8.33,39.6,groove,-18.968512,-30.14783,7
