artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre
Travis Scott,CAN'T SAY,True,https://www.whosampled.com/Travis-Scott/CAN%27T-SAY/,2018,1,0,0,0,0,0,27a1mYSG5tYg7dmEjWBcmL,76,198408,70.19999999999999,70.8,5.47,20.1,0.0,80.44723969252271,11.799999999999999,71.3,house
Travis Scott,NO BYSTANDERS,True,https://www.whosampled.com/Travis-Scott/NO-BYSTANDERS/,2018,5,0,0,0,0,0,6OaVWaGfhXn70ZJfdVcabn,73,218283,73.1,81.10000000000001,7.12,2.04,0.0,90.4216165851386,41.099999999999994,42.6,house
Travis Scott,5% TINT,True,https://www.whosampled.com/Travis-Scott/5%-TINT/,2018,1,0,0,0,0,0,11kDth1aKUEUMq9r1pqyds,79,196138,71.2,48.1,4.87,17.299999999999997,0.0,80.21896109946425,24.099999999999998,6.2,house
Jason Mraz,Have It All,True,https://www.whosampled.com/Jason-Mraz/Have-It-All/,2018,0,0,2,0,0,0,7BXW1QCg56yzEBV8pW8pah,65,226106,64.3,63.800000000000004,4.07,20.4,0.0,82.39925460051248,7.07,60.0,acoustic
Travis Scott,SKELETONS,True,https://www.whosampled.com/Travis-Scott/SKELETONS/,2018,1,0,1,0,0,0,6NMtzpDQBTOfJwMzgMX0zl,72,145588,46.0,68.60000000000001,3.6700000000000004,0.146,0.0,77.73584905660378,37.5,25.2,house
Travis Scott,ASTROTHUNDER,True,https://www.whosampled.com/Travis-Scott/ASTROTHUNDER/,2018,3,0,0,0,0,0,4MXhiYIRDMGAuvZc5IFTwC,74,142969,70.0,46.0,6.61,14.2,0.00481,67.65897973445144,11.1,28.599999999999998,house
Travis Scott,BUTTERFLY EFFECT,True,https://www.whosampled.com/Travis-Scott/BUTTERFLY-EFFECT/,2017,10,0,2,0,0,0,2cYqizR4lgvp4Qu6IQ3qGN,79,190557,76.3,62.8,5.0,5.3100000000000005,0.0,78.19240624272071,11.4,19.3,house
Imagine Dragons,Whatever It Takes,True,https://www.whosampled.com/Imagine-Dragons/Whatever-It-Takes/,2017,1,0,5,0,2,0,6Qn5zhYkTa37e91HC1D7lb,81,201240,67.2,65.5,3.11,3.62,0.0,82.0545073375262,11.700000000000001,55.60000000000001,rock
Lil Dicky;Chris Brown,Freaky Friday (feat. Chris Brown),True,https://www.whosampled.com/Lil-Dicky/Freaky-Friday/,2018,1,0,1,0,0,0,6dbSBQXCctYSVryynHXaZ4,45,216631,75.5,59.9,22.400000000000002,14.7,0.0,81.95667365478685,10.9,75.5,comedy
A$AP Rocky;Skepta,Praise The Lord (Da Shine) (feat. Skepta),False,,2018,1,0,4,0,0,0,7ycWLEP1GsNjVvcjawXz3z,82,205040,85.39999999999999,56.89999999999999,10.6,6.09,8.16,67.47262986256698,10.0,29.4,hip-hop
