artists,track_name,URL_Found,Whosampled_URL,Real_Year,Sampled_By_Count,Is_Sample_Of,Covered_By_Count,Is_Cover_Of,Remixed_By_Count,Is_Remix_Of,track_id,popularity,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,loudness,liveness,valence,track_genre
Inner City,Good Life,True,https://www.whosampled.com/Inner-City/Good-Life/,1988,41,0,10,0,24,0,5sJiLlgQKBL81QCTOkoLB5,58,244773,0.716,0.783,0.0496,0.172,0.0346,-12.876,0.0327,0.952,detroit-techno
Guns N' Roses,Paradise City,True,https://www.whosampled.com/Guns-N%27-Roses/Paradise-City/,1987,16,0,35,0,0,0,3YBZIN3rekqsKxbJc9FZko,79,405640,0.273,0.952,0.0843,0.0169,0.0111,-8.762,0.142,0.472,hard-rock
Rick Astley,She Wants To Dance With Me,True,https://www.whosampled.com/Rick-Astley/She-Wants-To-Dance/,1988,0,0,5,0,0,0,40GPRs5W6SAXCcyLNPw7O1,51,196440,0.654,0.83,0.0513,0.0864,5.19e-05,-12.099,0.268,0.938,synth-pop
Traveling Wilburys,End Of The Line,True,https://www.whosampled.com/Traveling-Wilburys/End-Of-The-Line/,1988,0,0,10,0,0,0,4HA2jo7wkMdN1lmLO6ryzE,73,209520,0.578,0.836,0.0512,0.163,1.36e-06,-6.607,0.0583,0.932,blues
White Lion,When the Children Cry,True,https://www.whosampled.com/White-Lion/When-the-Children-Cry/,1987,2,0,5,0,0,0,4ZCLM74MYhUy80TPiaAuee,61,258600,0.493,0.242,0.0291,0.68,0.0,-13.593,0.071,0.345,hard-rock
Erasure,A Little Respect,True,https://www.whosampled.com/Erasure/A-Little-Respect/,1988,6,0,43,0,12,0,1WuUHpXs5m5DN6ZflYpIBN,22,211666,0.58,0.812,0.0256,0.0529,9.36e-06,-7.401,0.316,0.655,synth-pop
Poison,Every Rose Has Its Thorn,True,https://www.whosampled.com/Poison/Every-Rose-Has-Its-Thorn/,1988,2,0,17,0,0,0,5qaSekPPKHIEA1Yn0qkCaC,56,260224,0.459,0.704,0.0356,0.233,1.66e-06,-5.564,0.374,0.342,hard-rock
When In Rome,The Promise,True,https://www.whosampled.com/When-In-Rome/The-Promise/,1987,8,0,36,0,7,0,6GaeEqb8oteEKEwuRE9WnO,1,220960,0.629,0.876,0.0444,0.0864,7.68e-05,-10.141,0.0431,0.359,synth-pop
Guns N' Roses,Welcome To The Jungle,True,https://www.whosampled.com/Guns-N%27-Roses/Welcome-To-The-Jungle/,1987,21,0,43,0,0,0,0bVtevEgtDIeRjCJbK3Lmv,80,272026,0.447,0.954,0.0751,0.0235,0.403,-8.069,0.298,0.331,hard-rock
Bon Jovi,Bad Medicine,True,https://www.whosampled.com/Bon-Jovi/Bad-Medicine/,1988,0,0,3,0,0,0,1kdumEk4vjB6LTjtp59YdL,1,316520,0.529,0.982,0.0368,0.0206,0.0,-2.129,0.0807,0.792,metal
Alphaville,Forever Young,True,https://www.whosampled.com/Alphaville/Forever-Young/,1984,30,0,115,0,5,0,4S1VYqwfkLit9mKVY3MXoo,72,226706,0.489,0.483,0.0275,0.42,0.0028,-9.466,0.236,0.333,synth-pop
UB40,Red Red Wine,True,https://www.whosampled.com/UB40/Red-Red-Wine/,1983,6,0,14,1,1,0,5ibwMeVwibkJKWHO7kv0cV,0,320866,0.815,0.359,0.0572,0.00645,0.000101,-15.663,0.0931,0.85,reggae
Cinderella,Don't Know What You Got (Till It's Gone),True,https://www.whosampled.com/Cinderella/Don%27t-Know-What-You-Got/,1988,2,0,16,0,0,0,5QRs63VVKNaqUjg6XSSckM,62,354640,0.384,0.535,0.0289,0.238,0.00045,-9.939,0.0533,0.232,hard-rock
Tracy Chapman,Baby Can I Hold You,True,https://www.whosampled.com/Tracy-Chapman/Baby-Can-I-Hold-You/,1988,5,0,32,0,0,0,2DjWsDGgL1xNbhnr7f6t5F,74,193120,0.692,0.422,0.0333,0.0811,0.0,-10.533,0.0848,0.468,folk
Randy Newman,It's Money That Matters,True,https://www.whosampled.com/Randy-Newman/It%27s-Money-That-Matters/,1988,0,0,1,0,1,0,5gUQPTljjDnEkpYPZ3ZvAP,24,247800,0.725,0.576,0.0298,0.0485,0.00406,-13.247,0.066,0.757,disney
Siouxsie and the Banshees,Peek-A-Boo,True,https://www.whosampled.com/Siouxsie-and-the-Banshees/Peek-A-Boo/,1988,0,0,2,0,3,0,5keH4JIMtaX5ttdnvPOzvz,0,192813,0.825,0.684,0.257,0.444,0.0,-8.6,0.106,0.622,punk
Pet Shop Boys,Domino Dancing,True,https://www.whosampled.com/Pet-Shop-Boys/Domino-Dancing/,1988,13,0,13,0,5,0,4mVLzFbc3gaCoWCEENLouc,62,258333,0.645,0.923,0.0441,0.0876,0.00359,-9.781,0.0303,0.81,synth-pop
Joan Jett & the Blackhearts,I Hate Myself for Loving You,True,https://www.whosampled.com/Joan-Jett/I-Hate-Myself-for-Loving-You/,1987,12,0,32,0,0,0,2HXixVqzzm9rEUIMAWzshl,68,246800,0.611,0.882,0.0538,0.0847,1.08e-06,-11.225,0.192,0.605,punk-rock
Erasure,Chains of Love - Live,True,https://www.whosampled.com/Erasure/Chains-of-Love---Live/,1987,24,0,65,0,0,0,1lRvUSlTf4DYMkdoGBQNWJ,27,240613,0.696,0.776,0.0367,0.0338,8.06e-05,-8.386,0.384,0.248,synth-pop
Guns N' Roses,Sweet Child O' Mine,True,https://www.whosampled.com/Guns-N%27-Roses/Sweet-Child-O%27-Mine/,1987,49,0,130,0,0,0,7o2CTH4ctstm8TNelqjb51,84,354520,0.454,0.91,0.0448,0.0866,0.0996,-7.766,0.116,0.629,hard-rock
Robert Palmer,Simply Irresistible,True,https://www.whosampled.com/Robert-Palmer/Simply-Irresistible/,1988,0,0,6,0,2,0,1tnZipedfyuRJlxkW8o5za,0,254293,0.646,0.934,0.0531,0.129,1.03e-05,-6.955,0.0443,0.698,blues
Tracy Chapman,Fast Car,True,https://www.whosampled.com/Tracy-Chapman/Fast-Car/,1988,32,0,68,0,0,0,2M9ro2krNb7nr7HSprkEgo,78,296800,0.711,0.292,0.037,0.313,0.0,-15.523,0.131,0.194,folk
